ECLI number,35,P12-1,P4-2,8,5,10,2,7,4,P1-2,6,P1-1,3,13,14
ECLI:CE:ECHR:2001:0118JUD002487694,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
ECLI:CE:ECHR:2001:0118JUD002528994,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
ECLI:CE:ECHR:2001:0118JUD002515494,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True
ECLI:CE:ECHR:2001:0118JUD002488294,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
ECLI:CE:ECHR:1996:0916JUD002189393,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True
ECLI:CE:ECHR:1997:1128JUD002318694,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True
ECLI:CE:ECHR:2009:1022JUD000357206,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2010:1202JUD003085603,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2009:0115JUD002826106,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
ECLI:CE:ECHR:2018:1127JUD004456011,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2004:0527JUD006674601,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True
ECLI:CE:ECHR:2011:0621JUD004883307,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2013:0725JUD002718304,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2012:0529JUD004215009,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2013:1017JUD002701307,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2007:0524JUD003271802,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2020:0903JUD001749619,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
