Id,Label,docname,itemid
0,ECLI:CE:ECHR:2007:0524JUD006558201,CASE OF RADCHIKOV v. RUSSIA,001-80627
1,ECLI:CE:ECHR:2014:0107DEC003369006,UNKNOWN (ECLI:CE:ECHR:2014:0107DEC003369006),UNKNOWN (ECLI:CE:ECHR:2014:0107DEC003369006)
2,ECLI:CE:ECHR:2003:1118DEC004875899,UNKNOWN (ECLI:CE:ECHR:2003:1118DEC004875899),UNKNOWN (ECLI:CE:ECHR:2003:1118DEC004875899)
3,ECLI:CE:ECHR:2004:0601JUD002456194,CASE OF ALTUN v. TURKEY,001-61796
4,ECLI:CE:ECHR:1996:0228DEC002900895,UNKNOWN (ECLI:CE:ECHR:1996:0228DEC002900895),UNKNOWN (ECLI:CE:ECHR:1996:0228DEC002900895)
5,ECLI:CE:ECHR:2011:0113JUD003271506,CASE OF KÜBLER v. GERMANY,001-102811
6,ECLI:CE:ECHR:2007:0628JUD006254000,CASE OF ASSOCIATION FOR EUROPEAN INTEGRATION AND HUMAN RIGHTS AND EKIMDZHIEV v. BULGARIA,001-81323
7,ECLI:CE:ECHR:1999:1216JUD002472494,CASE OF T. v. THE UNITED KINGDOM,001-58593
8,ECLI:CE:ECHR:2007:1207JUD005882200,UNKNOWN (ECLI:CE:ECHR:2007:1207JUD005882200),UNKNOWN (ECLI:CE:ECHR:2007:1207JUD005882200)
9,ECLI:CE:ECHR:2015:1204JUD004714306,CASE OF ROMAN ZAKHAROV v. RUSSIA,001-159324
10,ECLI:CE:ECHR:2009:0219JUD000233403,CASE OF KOZACIOĞLU v. TURKEY,001-91413
11,ECLI:CE:ECHR:1998:0219JUD002272993,CASE OF KAYA v. TURKEY,001-58138
12,ECLI:CE:ECHR:2019:0604DEC003047217,UNKNOWN (ECLI:CE:ECHR:2019:0604DEC003047217),UNKNOWN (ECLI:CE:ECHR:2019:0604DEC003047217)
13,ECLI:CE:ECHR:2020:0514JUD002472013,UNKNOWN (ECLI:CE:ECHR:2020:0514JUD002472013),UNKNOWN (ECLI:CE:ECHR:2020:0514JUD002472013)
14,ECLI:CE:ECHR:2000:0530DEC003184596,UNKNOWN (ECLI:CE:ECHR:2000:0530DEC003184596),UNKNOWN (ECLI:CE:ECHR:2000:0530DEC003184596)
15,ECLI:CE:ECHR:2012:0221DEC000346810,UNKNOWN (ECLI:CE:ECHR:2012:0221DEC000346810),UNKNOWN (ECLI:CE:ECHR:2012:0221DEC000346810)
16,ECLI:CE:ECHR:2020:0804JUD004481718,CASE OF KAMINSKAS v. LITHUANIA,001-203827
17,ECLI:CE:ECHR:2003:0624JUD003517997,CASE OF ALLARD v. SWEDEN,001-61164
18,ECLI:CE:ECHR:1999:0325JUD003142396,CASE OF PAPACHELAS v. GREECE,001-58291
19,ECLI:CE:ECHR:2013:1017JUD002701307,CASE OF WINTERSTEIN AND OTHERS v. FRANCE [Extracts],001-127539
20,ECLI:CE:ECHR:2006:0412JUD006573101,CASE OF STEC AND OTHERS v. THE UNITED KINGDOM,001-73198
21,ECLI:CE:ECHR:1994:1209JUD001679890,CASE OF LÓPEZ OSTRA v. SPAIN,001-57905
22,ECLI:CE:ECHR:2005:1019JUD003255596,CASE OF ROCHE v. THE UNITED KINGDOM,001-70662
23,ECLI:CE:ECHR:2002:0725JUD004855399,CASE OF SOVTRANSAVTO HOLDING v. UKRAINE,001-60634
24,ECLI:CE:ECHR:2008:1202JUD002144703,UNKNOWN (ECLI:CE:ECHR:2008:1202JUD002144703),UNKNOWN (ECLI:CE:ECHR:2008:1202JUD002144703)
25,ECLI:CE:ECHR:2003:0509JUD002724495,CASE OF TEPE v. TURKEY,001-61089
26,ECLI:CE:ECHR:1989:0707JUD001403888,CASE OF SOERING v. THE UNITED KINGDOM,001-57619
27,ECLI:CE:ECHR:1999:1214DEC004207298,UNKNOWN (ECLI:CE:ECHR:1999:1214DEC004207298),UNKNOWN (ECLI:CE:ECHR:1999:1214DEC004207298)
28,ECLI:CE:ECHR:2009:1006DEC000559107,UNKNOWN (ECLI:CE:ECHR:2009:1006DEC000559107),UNKNOWN (ECLI:CE:ECHR:2009:1006DEC000559107)
29,ECLI:CE:ECHR:2016:0913JUD007573713,CASE OF ANDREY MEDVEDEV v. RUSSIA,001-166685
30,ECLI:CE:ECHR:2015:0908DEC007411310,UNKNOWN (ECLI:CE:ECHR:2015:0908DEC007411310),UNKNOWN (ECLI:CE:ECHR:2015:0908DEC007411310)
31,ECLI:CE:ECHR:2003:1125JUD004817999,UNKNOWN (ECLI:CE:ECHR:2003:1125JUD004817999),UNKNOWN (ECLI:CE:ECHR:2003:1125JUD004817999)
32,ECLI:CE:ECHR:2005:0712JUD003622097,CASE OF OKYAY AND OTHERS  v. TURKEY,001-69672
33,ECLI:CE:ECHR:2011:0621JUD004883307,CASE OF ORLIC v. CROATIA,001-105291
34,ECLI:CE:ECHR:2008:0408JUD002115104,CASE OF MEGADAT.COM SRL v. MOLDOVA,001-85732
35,ECLI:CE:ECHR:2020:1117DEC007394411,UNKNOWN (ECLI:CE:ECHR:2020:1117DEC007394411),UNKNOWN (ECLI:CE:ECHR:2020:1117DEC007394411)
36,ECLI:CE:ECHR:2000:0627JUD003097996,CASE OF FRYDLENDER v. FRANCE,001-58762
