Id,Label,generation 0,generation 1,generation 2,generation
0,CASE OF KHAMIDOV v. RUSSIA,False,True,False,1
1,CASE OF YARASHONEN v. TURKEY,False,False,True,2
2,CASE OF PAUGER v. AUSTRIA,False,False,True,2
3,CASE OF WEMHOFF v. GERMANY,False,False,True,2
4,CASE OF BAKHMUTSKIY v. RUSSIA,False,False,True,2
5,CASE OF KANGASLUOMA v. FINLAND,False,False,True,2
6,CASE OF TANIŞ AND OTHERS v. TURKEY,False,False,True,2
7,CASE OF FRYDLENDER v. FRANCE,False,True,False,1
8,CASE OF BABUSHKIN v. RUSSIA,False,False,True,2
9,CASE OF LALA v. THE NETHERLANDS,False,False,True,2
10,CASE OF ERDOĞAN YAĞIZ v. TURKEY,False,False,True,2
11,CASE OF GILLOW v. THE UNITED KINGDOM (ARTICLE 50),False,True,False,1
12,CASE OF ZASURTSEV v. RUSSIA,False,False,True,2
13,CASE OF ČALOVSKIS v. LATVIA,False,False,True,2
14,CASE OF SWEDISH ENGINE DRIVERS' UNION v. SWEDEN,False,False,True,2
15,CASE OF OLSSON v. SWEDEN (No. 2),False,False,True,2
16,CASE OF SUTTER v. SWITZERLAND,False,False,True,2
17,CASE OF MISIUKONIS AND OTHERS v. LITHUANIA,False,False,True,2
18,CASE OF FOTOPOULOU v. GREECE,False,False,True,2
19,CASE OF HADZHIGEORGIEVI v. BULGARIA,False,False,True,2
20,CASE OF SALDUZ v. TURKEY,False,False,True,2
21,CASE OF BENHAM v. THE UNITED KINGDOM,False,False,True,2
22,CASE OF HADJIKOSTOVA v. BULGARIA (No. 2),False,False,True,2
23,CASE OF SOARES FERNANDES v. PORTUGAL,False,False,True,2
24,CASE OF J.L. v. LATVIA,False,False,True,2
25,CASE OF SÖDERBÄCK v. SWEDEN,False,False,True,2
26,CASE OF RELIGIONSGEMEINSCHAFT DER ZEUGEN JEHOVAS AND OTHERS v. AUSTRIA,False,False,True,2
27,CASE OF PANNULLO AND FORTE v. FRANCE,False,False,True,2
28,CASE OF KARAHALIOS v. GREECE,False,False,True,2
29,CASE OF NAYDENOV v. BULGARIA,False,False,True,2
30,CASE OF RADIO FRANCE AND OTHERS v. FRANCE,False,True,False,1
31,CASE OF TAHIR DURAN v. TURKEY,False,False,True,2
32,CASE OF AOULMI v. FRANCE [Extracts],False,False,True,2
33,CASE OF OKPISZ v. GERMANY,False,False,True,2
34,CASE OF ABDULSAMET YAMAN v. TURKEY,False,False,True,2
35,CASE OF KIRILOV v. BULGARIA,False,False,True,2
36,CASE OF KALAÇ v. TURKEY,False,False,True,2
37,CASE OF DEFALQUE v. BELGIUM,False,False,True,2
38,CASE OF Y.F. v. TURKEY,False,False,True,2
39,CASE OF KRUSLIN v. FRANCE,False,False,True,2
40,CASE OF ASSOCIATION FOR EUROPEAN INTEGRATION AND HUMAN RIGHTS AND EKIMDZHIEV v. BULGARIA,False,True,False,1
41,CASE OF KÖNIG v. GERMANY (ARTICLE 50),False,False,True,2
42,CASE OF VRZIĆ v. CROATIA,True,True,False,0-1
43,CASE OF PREDESCU v. ROMANIA,False,True,False,1
44,CASE OF ALIVERDIYEV v. RUSSIA,True,False,False,0
45,CASE OF FOLEY v. THE UNITED KINGDOM,False,False,True,2
46,CASE OF SCHERER v. SWITZERLAND,False,True,False,1
47,CASE OF ORUK v. TURKEY,False,False,True,2
48,CASE OF DA LUZ DOMINGUES FERREIRA v. BELGIUM,False,False,True,2
