Id,Label,generation -1,generation 0,generation 1,generation identifier
0,CASE OF LAUMONT v. FRANCE,False,False,True,1
1,CASE OF ĐORĐEVIĆ v. CROATIA,False,False,True,1
2,CASE OF WLOCH v. POLAND,False,False,True,1
3,CASE OF CELIKBILEK v. TURKEY,False,False,True,1
4,CASE OF ZHUKOVSKIYE v. RUSSIA,False,False,True,1
5,CASE OF FABRIS v. FRANCE,True,False,True,-1 1
6,CASE OF FYODOROV AND FYODOROVA v. UKRAINE,False,False,True,1
7,CASE OF VIAŞU v. ROMANIA,False,False,True,1
8,CASE OF KORPORATIVNA TARGOVSKA BANKA AD v. BULGARIA,True,False,False,-1
9,CASE OF DRIZA v. ALBANIA,True,False,True,-1 1
10,CASE OF KÜBLER v. GERMANY,False,False,True,1
11,CASE OF SABANCHIYEVA AND OTHERS v. RUSSIA,True,False,True,-1 1
12,CASE OF GILLOW v. THE UNITED KINGDOM (ARTICLE 50),False,False,True,1
13,CASE OF KURT v. TURKEY,False,False,True,1
14,CASE OF NÖLKENBOCKHOFF v. GERMANY,False,False,True,1
15,CASE OF BELEVITSKIY v. RUSSIA,False,False,True,1
16,CASE OF SALAH v. THE NETHERLANDS,False,False,True,1
17,CASE OF UYAN v. TURKEY (No. 2),True,False,False,-1
18,CASE OF M. AND OTHERS v. ITALY AND BULGARIA,True,False,False,-1
19,CASE OF HUTTEN-CZAPSKA v. POLAND,False,False,True,1
20,CASE OF PRINCE HANS-ADAM II OF LIECHTENSTEIN v. GERMANY,False,False,True,1
21,CASE OF GÜL v. TURKEY,False,False,True,1
22,CASE OF PANYUSHKINY v. RUSSIA,False,True,False,0
23,CASE OF KAMINSKAS v. LITHUANIA,False,True,True,0 1
24,CASE OF CHRISTINE GOODWIN v. THE UNITED KINGDOM,False,False,True,1
25,CASE OF AKKUŞ v. TURKEY,False,False,True,1
26,CASE OF ACHOUR v. FRANCE,False,False,True,1
27,CASE OF PAPACHELAS v. GREECE,False,False,True,1
28,CASE OF MICHAEL EDWARD COOKE v. AUSTRIA,False,False,True,1
29,CASE OF STOYCHEVA v. BULGARIA,False,False,True,1
30,CASE OF BOYLE AND RICE v. THE UNITED KINGDOM,False,False,True,1
31,CASE OF SILIADIN v. FRANCE,False,False,True,1
32,CASE OF AL-NASHIF v. BULGARIA,False,False,True,1
33,CASE OF DZHULAY v. UKRAINE,True,False,False,-1
34,CASE OF CHALKLEY v. THE UNITED KINGDOM,False,False,True,1
35,CASE OF SVITLANA ILCHENKO v. UKRAINE,True,False,False,-1
36,CASE OF SOYLU v. TURKEY,False,True,False,0
37,CASE OF ELIA SRL v. ITALY,False,False,True,1
38,CASE OF KUDREVIČIUS AND OTHERS v. LITHUANIA,True,False,False,-1
39,CASE OF ŽAJA v. CROATIA,True,False,False,-1
40,CASE OF VONTAS AND OTHERS v. GREECE,False,False,True,1
41,CASE OF TAXQUET v. BELGIUM,False,False,True,1
42,CASE OF NARODNI LIST D.D. v. CROATIA,False,False,True,1
43,CASE OF GNAHORE v. FRANCE,False,False,True,1
44,CASE OF MONTANARO GAUCI AND OTHERS v. MALTA,False,False,True,1
45,CASE OF GEORGIAN LABOUR PARTY v. GEORGIA,False,False,True,1
46,CASE OF TEJEDOR GARCÍA v. SPAIN,False,False,True,1
47,CASE OF W. v. THE UNITED KINGDOM (ARTICLE 50),False,False,True,1
48,CASE OF ADZHIGITOVA AND OTHERS v. RUSSIA,True,False,False,-1
49,CASE OF STEC AND OTHERS v. THE UNITED KINGDOM,False,False,True,1
