Source,Source Label,Target,Target Label,Type
0,ECLI:CE:ECHR:2001:0118JUD002487694,193,8,Directed
0,ECLI:CE:ECHR:2001:0118JUD002487694,199,P1-2,Directed
0,ECLI:CE:ECHR:2001:0118JUD002487694,201,P1-1,Directed
0,ECLI:CE:ECHR:2001:0118JUD002487694,204,14,Directed
1,ECLI:CE:ECHR:2001:0118JUD002528994,193,8,Directed
1,ECLI:CE:ECHR:2001:0118JUD002528994,199,P1-2,Directed
1,ECLI:CE:ECHR:2001:0118JUD002528994,201,P1-1,Directed
1,ECLI:CE:ECHR:2001:0118JUD002528994,204,14,Directed
2,ECLI:CE:ECHR:2001:0118JUD002515494,193,8,Directed
2,ECLI:CE:ECHR:2001:0118JUD002515494,199,P1-2,Directed
2,ECLI:CE:ECHR:2001:0118JUD002515494,200,6,Directed
2,ECLI:CE:ECHR:2001:0118JUD002515494,201,P1-1,Directed
2,ECLI:CE:ECHR:2001:0118JUD002515494,204,14,Directed
3,ECLI:CE:ECHR:2001:0118JUD002488294,193,8,Directed
3,ECLI:CE:ECHR:2001:0118JUD002488294,204,14,Directed
4,ECLI:CE:ECHR:1996:0916JUD002189393,193,8,Directed
4,ECLI:CE:ECHR:1996:0916JUD002189393,194,5,Directed
4,ECLI:CE:ECHR:1996:0916JUD002189393,200,6,Directed
4,ECLI:CE:ECHR:1996:0916JUD002189393,201,P1-1,Directed
4,ECLI:CE:ECHR:1996:0916JUD002189393,202,3,Directed
4,ECLI:CE:ECHR:1996:0916JUD002189393,204,14,Directed
5,ECLI:CE:ECHR:1997:1128JUD002318694,193,8,Directed
5,ECLI:CE:ECHR:1997:1128JUD002318694,194,5,Directed
5,ECLI:CE:ECHR:1997:1128JUD002318694,196,2,Directed
5,ECLI:CE:ECHR:1997:1128JUD002318694,200,6,Directed
5,ECLI:CE:ECHR:1997:1128JUD002318694,202,3,Directed
5,ECLI:CE:ECHR:1997:1128JUD002318694,203,13,Directed
5,ECLI:CE:ECHR:1997:1128JUD002318694,204,14,Directed
6,ECLI:CE:ECHR:2009:1022JUD000357206,193,8,Directed
7,ECLI:CE:ECHR:2010:1202JUD003085603,193,8,Directed
8,ECLI:CE:ECHR:2009:0115JUD002826106,193,8,Directed
8,ECLI:CE:ECHR:2009:0115JUD002826106,200,6,Directed
8,ECLI:CE:ECHR:2009:0115JUD002826106,204,14,Directed
9,ECLI:CE:ECHR:2018:1127JUD004456011,193,8,Directed
10,ECLI:CE:ECHR:2004:0527JUD006674601,193,8,Directed
10,ECLI:CE:ECHR:2004:0527JUD006674601,200,6,Directed
10,ECLI:CE:ECHR:2004:0527JUD006674601,201,P1-1,Directed
10,ECLI:CE:ECHR:2004:0527JUD006674601,203,13,Directed
10,ECLI:CE:ECHR:2004:0527JUD006674601,204,14,Directed
11,ECLI:CE:ECHR:2011:0621JUD004883307,193,8,Directed
12,ECLI:CE:ECHR:2013:0725JUD002718304,193,8,Directed
12,ECLI:CE:ECHR:2013:0725JUD002718304,201,P1-1,Directed
13,ECLI:CE:ECHR:2012:0529JUD004215009,193,8,Directed
14,ECLI:CE:ECHR:2013:1017JUD002701307,193,8,Directed
15,ECLI:CE:ECHR:2007:0524JUD003271802,193,8,Directed
15,ECLI:CE:ECHR:2007:0524JUD003271802,201,P1-1,Directed
16,ECLI:CE:ECHR:2020:0903JUD001749619,193,8,Directed
17,ECLI:CE:ECHR:2013:0718JUD000717710,193,8,Directed
18,ECLI:CE:ECHR:2011:1206JUD000709710,193,8,Directed
18,ECLI:CE:ECHR:2011:1206JUD000709710,201,P1-1,Directed
19,ECLI:CE:ECHR:2010:0527JUD001876805,193,8,Directed
19,ECLI:CE:ECHR:2010:0527JUD001876805,194,5,Directed
20,ECLI:CE:ECHR:2016:0712JUD004377713,193,8,Directed
20,ECLI:CE:ECHR:2016:0712JUD004377713,201,P1-1,Directed
21,ECLI:CE:ECHR:2012:0424JUD002544606,193,8,Directed
22,ECLI:CE:ECHR:2010:0302JUD001310202,193,8,Directed
22,ECLI:CE:ECHR:2010:0302JUD001310202,200,6,Directed
22,ECLI:CE:ECHR:2010:0302JUD001310202,204,14,Directed
23,ECLI:CE:ECHR:2010:0921JUD003734106,193,8,Directed
24,ECLI:CE:ECHR:2009:0716JUD002008202,193,8,Directed
24,ECLI:CE:ECHR:2009:0716JUD002008202,200,6,Directed
24,ECLI:CE:ECHR:2009:0716JUD002008202,201,P1-1,Directed
24,ECLI:CE:ECHR:2009:0716JUD002008202,203,13,Directed
25,ECLI:CE:ECHR:2005:1129JUD003703897,193,8,Directed
25,ECLI:CE:ECHR:2005:1129JUD003703897,200,6,Directed
25,ECLI:CE:ECHR:2005:1129JUD003703897,201,P1-1,Directed
25,ECLI:CE:ECHR:2005:1129JUD003703897,203,13,Directed
25,ECLI:CE:ECHR:2005:1129JUD003703897,204,14,Directed
26,ECLI:CE:ECHR:2004:0729JUD005953200,193,8,Directed
26,ECLI:CE:ECHR:2004:0729JUD005953200,201,P1-1,Directed
27,ECLI:CE:ECHR:2005:0118JUD003621797,193,8,Directed
27,ECLI:CE:ECHR:2005:0118JUD003621797,194,5,Directed
27,ECLI:CE:ECHR:2005:0118JUD003621797,196,2,Directed
27,ECLI:CE:ECHR:2005:0118JUD003621797,200,6,Directed
27,ECLI:CE:ECHR:2005:0118JUD003621797,202,3,Directed
27,ECLI:CE:ECHR:2005:0118JUD003621797,203,13,Directed
27,ECLI:CE:ECHR:2005:0118JUD003621797,204,14,Directed
28,ECLI:CE:ECHR:2016:0421JUD004657715,193,8,Directed
28,ECLI:CE:ECHR:2016:0421JUD004657715,201,P1-1,Directed
29,ECLI:CE:ECHR:2004:1026JUD003364696,193,8,Directed
29,ECLI:CE:ECHR:2004:1026JUD003364696,194,5,Directed
29,ECLI:CE:ECHR:2004:1026JUD003364696,200,6,Directed
29,ECLI:CE:ECHR:2004:1026JUD003364696,201,P1-1,Directed
29,ECLI:CE:ECHR:2004:1026JUD003364696,202,3,Directed
29,ECLI:CE:ECHR:2004:1026JUD003364696,203,13,Directed
29,ECLI:CE:ECHR:2004:1026JUD003364696,204,14,Directed
30,ECLI:CE:ECHR:2004:1109JUD002249493,193,8,Directed
30,ECLI:CE:ECHR:2004:1109JUD002249493,200,6,Directed
30,ECLI:CE:ECHR:2004:1109JUD002249493,201,P1-1,Directed
30,ECLI:CE:ECHR:2004:1109JUD002249493,202,3,Directed
30,ECLI:CE:ECHR:2004:1109JUD002249493,203,13,Directed
30,ECLI:CE:ECHR:2004:1109JUD002249493,204,14,Directed
31,ECLI:CE:ECHR:2004:0601JUD002456194,193,8,Directed
31,ECLI:CE:ECHR:2004:0601JUD002456194,194,5,Directed
31,ECLI:CE:ECHR:2004:0601JUD002456194,200,6,Directed
31,ECLI:CE:ECHR:2004:0601JUD002456194,201,P1-1,Directed
31,ECLI:CE:ECHR:2004:0601JUD002456194,202,3,Directed
31,ECLI:CE:ECHR:2004:0601JUD002456194,203,13,Directed
31,ECLI:CE:ECHR:2004:0601JUD002456194,204,14,Directed
32,ECLI:CE:ECHR:1996:0925JUD002034892,193,8,Directed
32,ECLI:CE:ECHR:1996:0925JUD002034892,204,14,Directed
33,ECLI:CE:ECHR:1999:0218JUD002951595,193,8,Directed
33,ECLI:CE:ECHR:1999:0218JUD002951595,201,P1-1,Directed
33,ECLI:CE:ECHR:1999:0218JUD002951595,204,14,Directed
34,ECLI:CE:ECHR:2001:0118JUD002723895,193,8,Directed
34,ECLI:CE:ECHR:2001:0118JUD002723895,200,6,Directed
34,ECLI:CE:ECHR:2001:0118JUD002723895,201,P1-1,Directed
34,ECLI:CE:ECHR:2001:0118JUD002723895,204,14,Directed
35,ECLI:CE:ECHR:2004:1118JUD005825500,193,8,Directed
36,ECLI:CE:ECHR:2008:0513JUD001900904,193,8,Directed
37,ECLI:CE:ECHR:2004:0629JUD000880302,193,8,Directed
37,ECLI:CE:ECHR:2004:0629JUD000880302,201,P1-1,Directed
37,ECLI:CE:ECHR:2004:0629JUD000880302,203,13,Directed
