Source,Source Label,Target,Target Label,Type
294,ECLI:CE:ECHR:2001:0118JUD002487694,66,ECLI:CE:ECHR:1990:0927JUD001084384,Directed
294,ECLI:CE:ECHR:2001:0118JUD002487694,130,ECLI:CE:ECHR:2000:0406JUD003436997,Directed
294,ECLI:CE:ECHR:2001:0118JUD002487694,134,ECLI:CE:ECHR:1983:0224JUD000752576,Directed
294,ECLI:CE:ECHR:2001:0118JUD002487694,275,ECLI:CE:ECHR:1979:0613JUD000683374,Directed
294,ECLI:CE:ECHR:2001:0118JUD002487694,364,ECLI:CE:ECHR:1999:0927JUD003141796,Directed
294,ECLI:CE:ECHR:2001:0118JUD002487694,461,ECLI:CE:ECHR:1994:1027JUD001853591,Directed
294,ECLI:CE:ECHR:2001:0118JUD002487694,474,ECLI:CE:ECHR:1981:1022JUD000752576,Directed
294,ECLI:CE:ECHR:2001:0118JUD002487694,506,ECLI:CE:ECHR:1987:0914JUD000906380,Directed
294,ECLI:CE:ECHR:2001:0118JUD002487694,597,ECLI:CE:ECHR:1996:0925JUD002034892,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,66,ECLI:CE:ECHR:1990:0927JUD001084384,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,130,ECLI:CE:ECHR:2000:0406JUD003436997,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,236,ECLI:CE:ECHR:1994:0526JUD001696990,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,275,ECLI:CE:ECHR:1979:0613JUD000683374,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,303,ECLI:CE:ECHR:1986:1124JUD000906380,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,364,ECLI:CE:ECHR:1999:0927JUD003141796,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,461,ECLI:CE:ECHR:1994:1027JUD001853591,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,474,ECLI:CE:ECHR:1981:1022JUD000752576,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,506,ECLI:CE:ECHR:1987:0914JUD000906380,Directed
596,ECLI:CE:ECHR:2001:0118JUD002528994,597,ECLI:CE:ECHR:1996:0925JUD002034892,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,40,ECLI:CE:ECHR:1995:1122JUD001917891,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,66,ECLI:CE:ECHR:1990:0927JUD001084384,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,130,ECLI:CE:ECHR:2000:0406JUD003436997,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,134,ECLI:CE:ECHR:1983:0224JUD000752576,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,236,ECLI:CE:ECHR:1994:0526JUD001696990,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,275,ECLI:CE:ECHR:1979:0613JUD000683374,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,364,ECLI:CE:ECHR:1999:0927JUD003141796,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,461,ECLI:CE:ECHR:1994:1027JUD001853591,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,474,ECLI:CE:ECHR:1981:1022JUD000752576,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,506,ECLI:CE:ECHR:1987:0914JUD000906380,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,597,ECLI:CE:ECHR:1996:0925JUD002034892,Directed
295,ECLI:CE:ECHR:2001:0118JUD002515494,721,ECLI:CE:ECHR:1999:0927JUD003398596,Directed
645,ECLI:CE:ECHR:2001:0118JUD002488294,66,ECLI:CE:ECHR:1990:0927JUD001084384,Directed
645,ECLI:CE:ECHR:2001:0118JUD002488294,130,ECLI:CE:ECHR:2000:0406JUD003436997,Directed
645,ECLI:CE:ECHR:2001:0118JUD002488294,134,ECLI:CE:ECHR:1983:0224JUD000752576,Directed
645,ECLI:CE:ECHR:2001:0118JUD002488294,236,ECLI:CE:ECHR:1994:0526JUD001696990,Directed
645,ECLI:CE:ECHR:2001:0118JUD002488294,275,ECLI:CE:ECHR:1979:0613JUD000683374,Directed
645,ECLI:CE:ECHR:2001:0118JUD002488294,364,ECLI:CE:ECHR:1999:0927JUD003141796,Directed
645,ECLI:CE:ECHR:2001:0118JUD002488294,461,ECLI:CE:ECHR:1994:1027JUD001853591,Directed
